country,year,emissions
Gambia,1955.0,0.047911651
Germany,1955.0,10.29582275
Ghana,1955.0,0.206468369
Gibraltar,1955.0,2.791656753
Greece,1955.0,0.748431019
Greenland,1955.0,7.921767805
Grenada,1955.0,0.135787382
Guadeloupe,1955.0,0.341441872
Guatemala,1955.0,0.252731894
Guinea-Bissau,1955.0,0.019431642
Guyana,1955.0,1.069706813
Haiti,1955.0,0.076150181
Honduras,1955.0,0.254293954
"Hong Kong, China",1955.0,0.755435339
Hungary,1955.0,3.637744989
Iceland,1955.0,5.778407868
India,1955.0,0.21040469
Indonesia,1955.0,0.254691041
Iran,1955.0,0.814344288
Iraq,1955.0,0.625253919
Ireland,1955.0,4.041866373
Israel,1955.0,2.804827444
Italy,1955.0,1.524213845
Jamaica,1955.0,0.639766631
Japan,1955.0,1.606771227
Jordan,1955.0,0.58747105
Kenya,1955.0,0.284720201
Kuwait,1955.0,9.429196834
Lebanon,1955.0,0.970437199
Liberia,1955.0,0.05885028
Libya,1955.0,0.380988919
Luxembourg,1955.0,32.43497268
"Macao, China",1955.0,0.121248863
Madagascar,1955.0,0.066919407
Malta,1955.0,1.084809172
Martinique,1955.0,0.462422415
Mauritius,1955.0,0.225044337
Mexico,1955.0,1.22221417
Mongolia,1955.0,0.689493536
Morocco,1955.0,0.351387637
Mozambique,1955.0,0.19721515
Myanmar,1955.0,0.075424421
Nepal,1955.0,0.004920615
Netherlands,1955.0,5.714389147
New Caledonia,1955.0,10.33778631
New Zealand,1955.0,4.401369162
Nicaragua,1955.0,0.260469225
Nigeria,1955.0,0.065027462
Norway,1955.0,3.333916934
Pakistan,1955.0,0.181113097
Panama,1955.0,0.727309412
Papua New Guinea,1955.0,0.070454444
Paraguay,1955.0,0.113887143
Peru,1955.0,0.707161343
Philippines,1955.0,0.301568621
Poland,1955.0,5.657051317
Portugal,1955.0,0.746405586
Qatar,1955.0,11.68675036
Reunion,1955.0,0.138412263
Romania,1955.0,2.105513223
Russia,1955.0,5.757311501
Samoa,1955.0,0.116846008
Sao Tome and Principe,1955.0,0.062383739
Saudi Arabia,1955.0,0.598488907
Sierra Leone,1955.0,0.090346256
Slovak Republic,1955.0,6.499598949
Solomon Islands,1955.0,0.096074064
Somalia,1955.0,0.026172301
South Africa,1955.0,5.3953726
Spain,1955.0,1.386014774
Sri Lanka,1955.0,0.185403915
Sudan,1955.0,0.113506397
Suriname,1955.0,1.24664672
Swaziland,1955.0,0.011934637
